"price","time"
€120.98,2026-01-28 00:00:00
€120.02,2026-01-28 00:15:00
€116.25,2026-01-28 00:30:00
€113.93,2026-01-28 00:45:00
€118.12,2026-01-28 01:00:00
€115.51,2026-01-28 01:15:00
€109.31,2026-01-28 01:30:00
€108.97,2026-01-28 01:45:00
€114.25,2026-01-28 02:00:00
€106.85,2026-01-28 02:15:00
€110.17,2026-01-28 02:30:00
€107.77,2026-01-28 02:45:00
€112.41,2026-01-28 03:00:00
€110.83,2026-01-28 03:15:00
€107.38,2026-01-28 03:30:00
€111.85,2026-01-28 03:45:00
€109.84,2026-01-28 04:00:00
€117.53,2026-01-28 04:15:00
€118.62,2026-01-28 04:30:00
€119.54,2026-01-28 04:45:00
€114.02,2026-01-28 05:00:00
€120.48,2026-01-28 05:15:00
€125.89,2026-01-28 05:30:00
€134.64,2026-01-28 05:45:00
€131.35,2026-01-28 06:00:00
€154.14,2026-01-28 06:15:00
€182.41,2026-01-28 06:30:00
€220.55,2026-01-28 06:45:00
€192.00,2026-01-28 07:00:00
€211.96,2026-01-28 07:15:00
€228.27,2026-01-28 07:30:00
€236.24,2026-01-28 07:45:00
€226.00,2026-01-28 08:00:00
€239.46,2026-01-28 08:15:00
€240.19,2026-01-28 08:30:00
€210.52,2026-01-28 08:45:00
€251.18,2026-01-28 09:00:00
€237.44,2026-01-28 09:15:00
€215.89,2026-01-28 09:30:00
€191.24,2026-01-28 09:45:00
€209.29,2026-01-28 10:00:00
€203.47,2026-01-28 10:15:00
€203.88,2026-01-28 10:30:00
€188.07,2026-01-28 10:45:00
€204.19,2026-01-28 11:00:00
€194.35,2026-01-28 11:15:00
€185.62,2026-01-28 11:30:00
€176.70,2026-01-28 11:45:00
€189.00,2026-01-28 12:00:00
€180.32,2026-01-28 12:15:00
€181.62,2026-01-28 12:30:00
€180.32,2026-01-28 12:45:00
€184.21,2026-01-28 13:00:00
€181.73,2026-01-28 13:15:00
€187.87,2026-01-28 13:30:00
€187.62,2026-01-28 13:45:00
€167.46,2026-01-28 14:00:00
€185.19,2026-01-28 14:15:00
€199.89,2026-01-28 14:30:00
€195.42,2026-01-28 14:45:00
€183.00,2026-01-28 15:00:00
€188.47,2026-01-28 15:15:00
€216.25,2026-01-28 15:30:00
€217.15,2026-01-28 15:45:00
€192.26,2026-01-28 16:00:00
€197.36,2026-01-28 16:15:00
€215.55,2026-01-28 16:30:00
€221.88,2026-01-28 16:45:00
€196.62,2026-01-28 17:00:00
€204.43,2026-01-28 17:15:00
€198.18,2026-01-28 17:30:00
€186.16,2026-01-28 17:45:00
€173.56,2026-01-28 18:00:00
€171.50,2026-01-28 18:15:00
€168.40,2026-01-28 18:30:00
€168.24,2026-01-28 18:45:00
€169.73,2026-01-28 19:00:00
€166.80,2026-01-28 19:15:00
€161.20,2026-01-28 19:30:00
€147.17,2026-01-28 19:45:00
€162.17,2026-01-28 20:00:00
€153.15,2026-01-28 20:15:00
€137.92,2026-01-28 20:30:00
€123.95,2026-01-28 20:45:00
€151.72,2026-01-28 21:00:00
€147.75,2026-01-28 21:15:00
€126.19,2026-01-28 21:30:00
€109.91,2026-01-28 21:45:00
€135.48,2026-01-28 22:00:00
€128.13,2026-01-28 22:15:00
€118.61,2026-01-28 22:30:00
€114.45,2026-01-28 22:45:00
€119.23,2026-01-28 23:00:00
€118.55,2026-01-28 23:15:00
€110.85,2026-01-28 23:30:00
€104.01,2026-01-28 23:45:00
€109.33,2026-01-29 00:00:00
€104.85,2026-01-29 00:15:00
€103.82,2026-01-29 00:30:00
€101.91,2026-01-29 00:45:00
€105.80,2026-01-29 01:00:00
€104.03,2026-01-29 01:15:00
€103.92,2026-01-29 01:30:00
€102.43,2026-01-29 01:45:00
€103.22,2026-01-29 02:00:00
€102.81,2026-01-29 02:15:00
€101.71,2026-01-29 02:30:00
€100.23,2026-01-29 02:45:00
€100.03,2026-01-29 03:00:00
€100.00,2026-01-29 03:15:00
€100.53,2026-01-29 03:30:00
€101.38,2026-01-29 03:45:00
€99.89,2026-01-29 04:00:00
€101.30,2026-01-29 04:15:00
€101.38,2026-01-29 04:30:00
€104.07,2026-01-29 04:45:00
€101.57,2026-01-29 05:00:00
€107.95,2026-01-29 05:15:00
€114.58,2026-01-29 05:30:00
€125.45,2026-01-29 05:45:00
€105.28,2026-01-29 06:00:00
€126.74,2026-01-29 06:15:00
€145.75,2026-01-29 06:30:00
€158.31,2026-01-29 06:45:00
€141.43,2026-01-29 07:00:00
€162.06,2026-01-29 07:15:00
€175.32,2026-01-29 07:30:00
€175.99,2026-01-29 07:45:00
€170.81,2026-01-29 08:00:00
€179.48,2026-01-29 08:15:00
€175.84,2026-01-29 08:30:00
€174.34,2026-01-29 08:45:00
€181.37,2026-01-29 09:00:00
€181.43,2026-01-29 09:15:00
€186.40,2026-01-29 09:30:00
€180.27,2026-01-29 09:45:00
€188.22,2026-01-29 10:00:00
€178.68,2026-01-29 10:15:00
€179.95,2026-01-29 10:30:00
€171.82,2026-01-29 10:45:00
€177.67,2026-01-29 11:00:00
€177.96,2026-01-29 11:15:00
€174.86,2026-01-29 11:30:00
€165.85,2026-01-29 11:45:00
€172.20,2026-01-29 12:00:00
€169.90,2026-01-29 12:15:00
€163.57,2026-01-29 12:30:00
€167.67,2026-01-29 12:45:00
€168.72,2026-01-29 13:00:00
€169.89,2026-01-29 13:15:00
€167.52,2026-01-29 13:30:00
€168.12,2026-01-29 13:45:00
€163.56,2026-01-29 14:00:00
€170.12,2026-01-29 14:15:00
€174.45,2026-01-29 14:30:00
€174.75,2026-01-29 14:45:00
€158.38,2026-01-29 15:00:00
€158.19,2026-01-29 15:15:00
€169.90,2026-01-29 15:30:00
€170.71,2026-01-29 15:45:00
€155.20,2026-01-29 16:00:00
€160.74,2026-01-29 16:15:00
€167.54,2026-01-29 16:30:00
€179.47,2026-01-29 16:45:00
€163.89,2026-01-29 17:00:00
€168.29,2026-01-29 17:15:00
€168.90,2026-01-29 17:30:00
€164.64,2026-01-29 17:45:00
€162.65,2026-01-29 18:00:00
€161.20,2026-01-29 18:15:00
€160.69,2026-01-29 18:30:00
€160.57,2026-01-29 18:45:00
€164.62,2026-01-29 19:00:00
€160.65,2026-01-29 19:15:00
€160.42,2026-01-29 19:30:00
€151.99,2026-01-29 19:45:00
€160.24,2026-01-29 20:00:00
€152.41,2026-01-29 20:15:00
€138.17,2026-01-29 20:30:00
€138.96,2026-01-29 20:45:00
€138.92,2026-01-29 21:00:00
€140.50,2026-01-29 21:15:00
€134.29,2026-01-29 21:30:00
€115.28,2026-01-29 21:45:00
€130.47,2026-01-29 22:00:00
€123.29,2026-01-29 22:15:00
€122.26,2026-01-29 22:30:00
€105.48,2026-01-29 22:45:00
€110.96,2026-01-29 23:00:00
€101.68,2026-01-29 23:15:00
€103.12,2026-01-29 23:30:00
€97.44,2026-01-29 23:45:00
