Date,Hour,Price_EUR_MWh
2025-03-14,0,62.45
2025-03-14,1,55.12
2025-03-14,2,51.80
2025-03-14,3,49.30
2025-03-14,4,48.95
2025-03-14,5,53.20
2025-03-14,6,78.60
2025-03-14,7,112.40
2025-03-14,8,125.80
2025-03-14,9,118.50
2025-03-14,10,105.30
2025-03-14,11,98.75
2025-03-14,12,92.40
2025-03-14,13,89.60
2025-03-14,14,94.20
2025-03-14,15,102.10
2025-03-14,16,115.80
2025-03-14,17,138.50
2025-03-14,18,152.30
2025-03-14,19,145.60
2025-03-14,20,128.40
2025-03-14,21,108.90
2025-03-14,22,88.30
2025-03-14,23,71.20
